DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076	077	078	079	080	081	082
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220212	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	N/A	N/A	N/A
220213	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	N/A	N/A	N/A
220214	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	N/A	N/A	N/A
220215	0	0	0	0	2	0	0	0	3	0	1	0	0	1	0	0	0	2	0	2	0	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	3	0	0	0	1	0	0	0	0	0	2	0	1	0	2	0	0	1	2	2	0	0	0	0	1	0	N/A	N/A	N/A
220216	0	1	0	0	2	0	0	0	3	0	1	0	0	2	0	0	0	2	0	2	0	3	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	2	1	1	0	3	2	0	1	1	0	0	0	0	0	2	0	1	0	2	0	0	1	2	3	0	1	0	0	1	0	N/A	N/A	N/A
220218	1	1	0	0	2	0	0	5	3	1	1	0	0	5	0	0	0	2	0	4	0	4	2	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	1	3	0	0	0	1	0	0	0	1	3	1	1	2	4	2	0	1	1	0	1	0	3	0	4	0	2	0	2	1	0	2	2	4	0	1	1	1	2	1	N/A	N/A	N/A
220219	1	1	0	0	2	0	1	5	3	1	1	0	0	5	0	0	0	2	0	4	0	5	2	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	1	4	0	0	0	1	0	0	0	1	3	1	1	2	4	3	0	1	1	0	1	0	3	0	4	0	2	0	2	1	0	2	2	4	0	1	1	1	2	1	N/A	N/A	N/A
220220	1	1	0	0	2	0	1	6	3	1	1	0	0	5	0	0	0	2	0	4	0	5	2	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	1	4	0	0	1	1	0	0	0	1	3	1	1	2	4	3	0	1	1	0	1	0	3	0	4	0	2	0	2	1	0	2	2	4	0	1	1	1	2	1	N/A	N/A	N/A
220221	1	1	0	0	2	0	1	6	3	1	1	0	0	6	0	0	0	2	0	4	0	5	2	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	1	5	0	0	1	1	0	0	0	1	3	1	1	2	4	3	0	1	1	0	1	0	3	0	5	0	2	0	2	1	0	2	2	4	0	1	1	1	2	1	N/A	N/A	N/A
