DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076	077	078	079	080	081	082	083	084	085	086	087	088	089	090	091	092	093	094	095	096	097	098	099	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220212	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	2	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220213	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	2	1	1	1	0	0	2	0	0	1	2	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	2	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220214	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	2	0	1	1	2	0	1	1	1	0	0	1	0	1	2	1	1	1	1	0	1	0	2	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220215	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	2	0	1	1	2	0	2	1	1	0	0	1	0	1	2	1	1	1	1	0	1	0	2	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	2	1	1	1	1	0	2	0	1	1	2	0	2	1	1	0	0	1	0	1	2	1	1	1	1	0	1	0	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	1	1	0	2	0	0	0	0	1	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	2	2	1	1	1	1	0	2	0	1	1	2	0	2	1	1	0	0	1	0	3	2	1	1	1	1	0	1	0	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220217	1	1	0	2	0	0	1	0	1	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	2	2	1	1	1	1	0	2	0	1	1	2	0	2	1	1	0	0	1	0	3	2	1	1	1	1	0	1	0	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	1	1	0	2	0	0	1	0	1	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	2	2	1	1	1	1	0	2	0	1	1	2	0	2	1	1	0	0	1	0	3	2	1	1	1	1	0	1	0	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220219	1	1	0	2	0	0	1	0	1	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	2	2	1	1	1	1	0	3	0	1	1	2	0	2	1	1	0	0	1	0	3	2	1	1	1	1	0	1	1	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220220	1	1	0	2	0	0	1	0	1	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	2	2	1	1	1	1	0	3	0	1	1	2	0	2	1	1	0	0	1	0	3	2	1	1	1	1	0	1	1	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220221	1	1	0	2	0	0	1	0	1	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	2	2	1	1	1	1	0	3	0	1	1	2	0	2	1	1	1	0	1	0	3	2	1	1	1	1	0	1	1	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220221	1	1	0	2	0	0	1	0	1	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	0	3	0	1	1	2	0	2	1	1	1	0	1	1	3	2	1	1	1	1	0	1	2	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220222	1	1	0	2	0	0	1	0	1	0	0	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	0	3	0	1	1	2	0	2	2	1	1	0	1	1	3	2	1	1	1	1	0	1	2	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	1	1	0	2	0	0	1	1	1	0	1	1	0	1	1	1	1	1	2	1	1	1	2	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	0	1	1	2	0	2	2	1	1	0	1	1	3	2	1	1	2	1	0	1	2	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220225	1	1	0	2	0	0	1	1	1	0	1	1	0	2	1	1	1	1	2	1	1	1	2	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	0	1	1	2	0	2	2	1	1	0	1	1	3	2	1	1	2	1	0	1	2	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
220226	1	1	0	2	0	0	1	1	1	0	1	1	0	2	1	1	1	1	2	1	1	1	2	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	0	1	1	2	0	2	2	1	1	0	1	1	3	2	2	1	2	2	0	1	3	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
220301	1	1	0	2	0	0	1	1	1	0	1	1	0	2	1	1	1	1	2	1	1	1	2	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	0	1	1	3	0	2	2	1	1	0	1	1	3	2	2	1	2	2	0	1	4	2	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
220302	1	1	0	2	1	0	1	1	1	0	1	1	0	2	1	1	1	1	2	1	1	1	2	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	0	1	1	3	0	2	2	1	1	0	1	1	3	2	2	1	2	2	0	1	4	2	1	2	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
220304	1	1	0	2	1	0	1	1	1	0	2	1	0	2	1	1	1	1	2	1	2	1	2	0	2	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	0	1	1	3	0	2	2	1	1	0	1	1	3	2	2	1	2	2	0	1	4	2	1	2	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
